Titulo,Fecha,Link
Netflix elimina un episodio de una comedia satírica crítico con Arabia Saudita,01/01/2019 _ 23:48,https://elcomercio.pe/tvmas/series/netflix-elimina-episodio-comedia-satirica-critico-arabia-saudita-noticia-593256-noticia/
Editorial: (Sin) Vergüenza,01/01/2019 _ 23:45,https://elcomercio.pe/opinion/editorial/editorial-vergueenza-noticia-593061-noticia/
Vizcarra anuncia proyecto para declarar en emergencia al Ministerio Público,01/01/2019 _ 23:36,https://elcomercio.pe/politica/martin-vizcarra-anuncia-proyecto-declarar-emergencia-ministerio-publico-noticia-593181-noticia/
"Los desafíos tecnológicos para el 2019, por Susan Fowler",01/01/2019 _ 23:30,https://elcomercio.pe/opinion/colaboradores/desafios-tecnologicos-2019-susan-fowler-noticia-593028-noticia/
"El Perú en el 2019, por Ian Vásquez",01/01/2019 _ 23:30,https://elcomercio.pe/opinion/mirada-de-fondo/peru-2019-ian-vasquez-noticia-593030-noticia/
"¿Existieron los Reyes Magos?, por Luis Millones",01/01/2019 _ 23:30,https://elcomercio.pe/opinion/columnistas/existieron-reyes-magos-luis-millones-noticia-593016-noticia/
"La inversión pública, por Claudia Cooper",01/01/2019 _ 23:30,https://elcomercio.pe/opinion/columnistas/inversion-publica-claudia-cooper-noticia-593019-noticia/
Bolsonaro firma decreto con aumento del salario mínimo en Brasil,01/01/2019 _ 23:27,https://elcomercio.pe/mundo/latinoamerica/jair-bolsonaro-firma-decreto-aumento-salario-minimo-brasil-noticia-593232-noticia/
1919: Año nuevo,01/01/2019 _ 23:25,https://elcomercio.pe/opinion/efemerides/1919-ano-nuevo-noticia-593023-noticia/
"Martha Hildebrandt: el significado de “Zambo, -a”",01/01/2019 _ 23:25,https://elcomercio.pe/opinion/efemerides/martha-hildebrandt-significado-zambo-noticia-593025-noticia/
